ticker,company_name,asset_type,universe_name,source_type,source_name,strategy_role,account_target,target_weight,sector,industry,cusip,cik,date_added,as_of_date,notes,active
UAL,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00111881,-,,,,,21/05/2026,,True
HBAN,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00111579,-,,,,,21/05/2026,,True
Q,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0011104,-,,,,,21/05/2026,,True
STLD,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0011038,-,,,,,21/05/2026,,True
VICI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00108162,-,,,,,21/05/2026,,True
NTRS,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00108134,-,,,,,21/05/2026,,True
CPRT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00106264,-,,,,,21/05/2026,,True
EXR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00105915,-,,,,,21/05/2026,,True
PAYX,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00105492,-,,,,,21/05/2026,,True
AEE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00105393,-,,,,,21/05/2026,,True
FTNT,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00104761,-,,,,,21/05/2026,,True
ABNB,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00104611,-,,,,,21/05/2026,,True
FISV,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00104144,-,,,,,21/05/2026,,True
KKR,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00103766,-,,,,,21/05/2026,,True
DTE,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00103557,-,,,,,21/05/2026,,True
ATO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.0010189,-,,,,,21/05/2026,,True
CEG,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00101842,-,,,,,21/05/2026,,True
GEHC,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00101618,-,,,,,21/05/2026,,True
CMI,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00100796,-,,,,,21/05/2026,,True
APO,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00099148,-,,,,,21/05/2026,,True
TDY,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00098888,-,,,,,21/05/2026,,True
IQV,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00098877,-,,,,,21/05/2026,,True
HSY,,stock,sp500_value,manual,sp500_value_manual,value,paper,0.00097951,-,,,,,21/05/2026,,True
